tamMatriz,numProcesos,numHilos,repeticion,tiempo_seg
256,1,1,1,1.771106
256,1,1,2,1.767984
256,1,1,3,1.757957
256,1,1,4,1.762699
256,1,1,5,1.770264
256,1,1,6,1.757927
256,1,1,7,1.763975
256,1,1,8,1.761184
256,1,1,9,1.756329
256,1,1,10,1.746402
256,1,1,11,1.748517
256,1,1,12,1.773119
256,1,1,13,1.760555
256,1,1,14,1.795608
256,1,1,15,1.766666
256,1,1,16,1.753506
256,1,1,17,1.763370
256,1,1,18,1.735980
256,1,1,19,1.769407
256,1,1,20,1.760726
256,1,1,21,1.752358
256,1,1,22,1.768826
256,1,1,23,1.756086
256,1,1,24,1.739051
256,1,1,25,1.785943
256,1,1,26,1.776164
256,1,1,27,1.776437
256,1,1,28,1.781231
256,1,1,29,1.776389
256,1,1,30,1.776572
256,1,2,1,1.749128
256,1,2,2,1.750274
256,1,2,3,1.756960
256,1,2,4,1.760506
256,1,2,5,1.747399
256,1,2,6,1.771297
256,1,2,7,1.752359
256,1,2,8,1.763521
256,1,2,9,1.756954
256,1,2,10,1.754739
256,1,2,11,1.771554
256,1,2,12,1.748950
256,1,2,13,1.757063
256,1,2,14,1.745026
256,1,2,15,1.765762
256,1,2,16,1.752100
256,1,2,17,1.773684
256,1,2,18,1.766249
256,1,2,19,1.760252
256,1,2,20,1.754539
256,1,2,21,1.745103
256,1,2,22,1.763449
256,1,2,23,1.736436
256,1,2,24,1.761959
256,1,2,25,1.774182
256,1,2,26,1.755441
256,1,2,27,1.776195
256,1,2,28,1.747169
256,1,2,29,1.763191
256,1,2,30,1.750427
256,1,4,1,2.774845
256,1,4,2,1.774349
256,1,4,3,1.765322
256,1,4,4,1.766863
256,1,4,5,1.771743
256,1,4,6,1.761873
256,1,4,7,1.776523
256,1,4,8,1.767585
256,1,4,9,1.752119
256,1,4,10,1.760300
256,1,4,11,1.768272
256,1,4,12,1.765725
256,1,4,13,1.780408
256,1,4,14,1.773746
256,1,4,15,1.760324
256,1,4,16,1.754144
256,1,4,17,1.793354
256,1,4,18,1.760877
256,1,4,19,1.740370
256,1,4,20,1.770267
256,1,4,21,1.756567
256,1,4,22,1.744481
256,1,4,23,1.772600
256,1,4,24,1.752243
256,1,4,25,1.775709
256,1,4,26,1.752867
256,1,4,27,1.761342
256,1,4,28,1.751637
256,1,4,29,1.748063
256,1,4,30,1.751907
256,1,8,1,1.766939
256,1,8,2,1.763231
256,1,8,3,1.754124
256,1,8,4,1.767600
256,1,8,5,1.767010
256,1,8,6,1.755527
256,1,8,7,1.756822
256,1,8,8,1.774209
256,1,8,9,1.787297
256,1,8,10,1.752121
256,1,8,11,1.778256
256,1,8,12,1.780492
256,1,8,13,1.758052
256,1,8,14,1.766402
256,1,8,15,1.774079
256,1,8,16,1.763027
256,1,8,17,1.787467
256,1,8,18,1.756578
256,1,8,19,1.750091
256,1,8,20,1.775572
256,1,8,21,1.753736
256,1,8,22,1.751264
256,1,8,23,1.778793
256,1,8,24,1.759634
256,1,8,25,1.757370
256,1,8,26,1.772103
256,1,8,27,1.751975
256,1,8,28,1.764820
256,1,8,29,1.752208
256,1,8,30,1.755831
256,2,1,1,0.890665
256,2,1,2,0.895529
256,2,1,3,0.883557
256,2,1,4,0.893753
256,2,1,5,0.901795
256,2,1,6,0.878225
