tamMatriz,np,workers,hilos,repeticion,tiempo_seg,estado
512,2,1,1,1,1.538788,OK
512,2,1,1,2,1.592157,OK
512,2,1,1,3,1.782770,OK
512,2,1,1,4,1.789676,OK
512,2,1,1,5,1.573471,OK
512,2,1,1,6,1.516584,OK
512,2,1,1,7,1.539745,OK
512,2,1,1,8,1.879118,OK
512,2,1,1,9,1.798442,OK
512,2,1,1,10,1.892077,OK
512,2,1,1,11,1.564288,OK
512,2,1,1,12,1.843527,OK
512,2,1,1,13,1.530882,OK
512,2,1,1,14,1.503874,OK
512,2,1,1,15,1.568012,OK
512,2,1,1,16,1.544001,OK
512,2,1,1,17,1.795550,OK
512,2,1,1,18,1.527639,OK
512,2,1,1,19,1.503452,OK
512,2,1,1,20,1.776139,OK
512,2,1,1,21,1.740381,OK
512,2,1,1,22,1.861615,OK
512,2,1,1,23,1.556889,OK
512,2,1,1,24,1.532977,OK
512,2,1,1,25,1.526779,OK
512,2,1,1,26,1.768558,OK
512,2,1,1,27,1.523302,OK
512,2,1,1,28,1.554974,OK
512,2,1,1,29,1.531210,OK
512,2,1,1,30,1.693838,OK
512,2,1,2,1,1.605408,OK
512,2,1,2,2,1.651453,OK
512,2,1,2,3,1.518730,OK
512,2,1,2,4,1.734724,OK
512,2,1,2,5,1.503703,OK
512,2,1,2,6,1.546636,OK
512,2,1,2,7,1.901620,OK
512,2,1,2,8,1.813101,OK
512,2,1,2,9,1.510223,OK
512,2,1,2,10,1.685546,OK
512,2,1,2,11,1.756488,OK
512,2,1,2,12,1.517530,OK
512,2,1,2,13,1.558106,OK
512,2,1,2,14,1.706439,OK
512,2,1,2,15,1.833674,OK
512,2,1,2,16,1.561280,OK
512,2,1,2,17,1.823125,OK
512,2,1,2,18,1.714186,OK
512,2,1,2,19,1.606931,OK
512,2,1,2,20,1.837043,OK
512,2,1,2,21,1.553043,OK
512,2,1,2,22,1.895741,OK
512,2,1,2,23,1.534561,OK
512,2,1,2,24,1.793043,OK
512,2,1,2,25,1.536029,OK
512,2,1,2,26,1.800973,OK
512,2,1,2,27,1.559346,OK
512,2,1,2,28,1.897555,OK
512,2,1,2,29,1.852460,OK
512,2,1,2,30,1.855084,OK
512,2,1,4,1,1.862988,OK
512,2,1,4,2,1.540951,OK
512,2,1,4,3,1.826547,OK
512,2,1,4,4,1.685389,OK
512,2,1,4,5,1.755055,OK
512,2,1,4,6,1.564443,OK
512,2,1,4,7,1.848771,OK
512,2,1,4,8,1.778973,OK
512,2,1,4,9,1.728079,OK
512,2,1,4,10,1.534164,OK
512,2,1,4,11,1.843480,OK
512,2,1,4,12,1.623257,OK
512,2,1,4,13,1.561212,OK
512,2,1,4,14,1.583826,OK
512,2,1,4,15,1.585089,OK
512,2,1,4,16,1.817405,OK
512,2,1,4,17,1.546611,OK
512,2,1,4,18,1.931707,OK
512,2,1,4,19,1.668064,OK
512,2,1,4,20,1.601538,OK
512,2,1,4,21,1.536428,OK
512,2,1,4,22,1.823834,OK
512,2,1,4,23,1.566049,OK
512,2,1,4,24,1.567089,OK
512,2,1,4,25,1.566013,OK
512,2,1,4,26,1.845431,OK
512,2,1,4,27,1.711079,OK
512,2,1,4,28,1.562360,OK
512,2,1,4,29,1.714763,OK
512,2,1,4,30,1.780843,OK
512,3,2,1,1,1.225168,OK
512,3,2,1,2,1.218812,OK
512,3,2,1,3,1.237193,OK
512,3,2,1,4,1.220108,OK
512,3,2,1,5,1.205208,OK
512,3,2,1,6,1.235606,OK
512,3,2,1,7,1.222440,OK
512,3,2,1,8,1.191823,OK
512,3,2,1,9,1.207564,OK
512,3,2,1,10,1.223954,OK
512,3,2,1,11,1.193903,OK
512,3,2,1,12,1.225591,OK
512,3,2,1,13,1.230511,OK
