tamMatriz,np,workers,hilos,repeticion,tiempo_seg,estado
512,2,1,1,1,1.498008,OK
512,2,1,1,2,1.309699,OK
512,2,1,1,3,1.349306,OK
512,2,1,1,4,1.331051,OK
512,2,1,1,5,1.315592,OK
512,2,1,1,6,1.328995,OK
512,2,1,1,7,1.311161,OK
512,2,1,1,8,1.331086,OK
512,2,1,1,9,1.350217,OK
512,2,1,1,10,1.343372,OK
512,2,1,1,11,1.327631,OK
512,2,1,1,12,1.313428,OK
512,2,1,1,13,1.308255,OK
512,2,1,1,14,1.338897,OK
512,2,1,1,15,1.323784,OK
512,2,1,1,16,1.308990,OK
512,2,1,1,17,1.330986,OK
512,2,1,1,18,1.321589,OK
512,2,1,1,19,1.331325,OK
512,2,1,1,20,1.345374,OK
512,2,1,1,21,1.292650,OK
512,2,1,1,22,1.327781,OK
512,2,1,1,23,1.320619,OK
512,2,1,1,24,1.321730,OK
512,2,1,1,25,1.318196,OK
512,2,1,1,26,1.328253,OK
512,2,1,1,27,1.312725,OK
512,2,1,1,28,1.324374,OK
512,2,1,1,29,1.313924,OK
512,2,1,1,30,1.316401,OK
512,2,1,2,1,1.304237,OK
512,2,1,2,2,1.310223,OK
512,2,1,2,3,1.305913,OK
512,2,1,2,4,1.326516,OK
512,2,1,2,5,1.305913,OK
512,2,1,2,6,1.313571,OK
512,2,1,2,7,1.364757,OK
512,2,1,2,8,1.335040,OK
512,2,1,2,9,1.314948,OK
512,2,1,2,10,1.328400,OK
512,2,1,2,11,1.312168,OK
512,2,1,2,12,1.325110,OK
512,2,1,2,13,1.326675,OK
512,2,1,2,14,1.312101,OK
512,2,1,2,15,1.320945,OK
512,2,1,2,16,1.352894,OK
512,2,1,2,17,1.315515,OK
512,2,1,2,18,1.327683,OK
512,2,1,2,19,1.307687,OK
512,2,1,2,20,1.291391,OK
512,2,1,2,21,1.317916,OK
512,2,1,2,22,1.300640,OK
512,2,1,2,23,1.323917,OK
512,2,1,2,24,1.330572,OK
512,2,1,2,25,1.341374,OK
512,2,1,2,26,1.313774,OK
512,2,1,2,27,1.339282,OK
512,2,1,2,28,1.341429,OK
512,2,1,2,29,1.312442,OK
512,2,1,2,30,1.344279,OK
512,2,1,4,1,1.315675,OK
512,2,1,4,2,1.354648,OK
512,2,1,4,3,1.347770,OK
512,2,1,4,4,1.337495,OK
512,2,1,4,5,1.320170,OK
512,2,1,4,6,1.322060,OK
512,2,1,4,7,1.348403,OK
512,2,1,4,8,1.326505,OK
512,2,1,4,9,1.340642,OK
512,2,1,4,10,1.325417,OK
512,2,1,4,11,1.315610,OK
512,2,1,4,12,1.324172,OK
512,2,1,4,13,1.327210,OK
512,2,1,4,14,1.311445,OK
512,2,1,4,15,1.317639,OK
512,2,1,4,16,1.326223,OK
512,2,1,4,17,1.310516,OK
512,2,1,4,18,1.311423,OK
512,2,1,4,19,1.356931,OK
512,2,1,4,20,1.318053,OK
512,2,1,4,21,1.315163,OK
512,2,1,4,22,1.323882,OK
512,2,1,4,23,1.342160,OK
512,2,1,4,24,1.324125,OK
512,2,1,4,25,1.319621,OK
512,2,1,4,26,1.343669,OK
512,2,1,4,27,1.336692,OK
512,2,1,4,28,1.351781,OK
512,2,1,4,29,1.334436,OK
512,2,1,4,30,1.340964,OK
512,3,2,1,1,1.196788,OK
512,3,2,1,2,1.087500,OK
512,3,2,1,3,1.084571,OK
512,3,2,1,4,1.077814,OK
512,3,2,1,5,1.123329,OK
512,3,2,1,6,1.095519,OK
512,3,2,1,7,1.104832,OK
512,3,2,1,8,1.109367,OK
512,3,2,1,9,1.110268,OK
512,3,2,1,10,1.063926,OK
512,3,2,1,11,1.061061,OK
512,3,2,1,12,1.087893,OK
512,3,2,1,13,1.097127,OK
512,3,2,1,14,1.064549,OK
512,3,2,1,15,1.100647,OK
512,3,2,1,16,1.097207,OK
512,3,2,1,17,1.087116,OK
512,3,2,1,18,1.085876,OK
512,3,2,1,19,1.081080,OK
512,3,2,1,20,1.100243,OK
512,3,2,1,21,1.120465,OK
512,3,2,1,22,1.075404,OK
512,3,2,1,23,1.086899,OK
512,3,2,1,24,1.078233,OK
512,3,2,1,25,1.094690,OK
512,3,2,1,26,1.081682,OK
512,3,2,1,27,1.085269,OK
512,3,2,1,28,1.091441,OK
512,3,2,1,29,1.086583,OK
512,3,2,1,30,1.112262,OK
512,3,2,2,1,1.026553,OK
512,3,2,2,2,1.097853,OK
512,3,2,2,3,1.048427,OK
512,3,2,2,4,1.064467,OK
